7.99623,
7.99645,
7.99679,
7.99609,
7.99664,
7.99634,
7.99639,
7.99638,
7.99619,
7.99645,
7.99606,
7.99637,
7.99659,
7.99649,
7.99614,
7.99649,
7.99637,
7.99608,
7.9963,
7.99606
