16.9706,
3.74166,
22.0454,
13.6382,
20.3961,
14.4914,
12.8062,
32.4345,
31.7805,
17.2627,
35.2704,
17.3205,
22.2711,
34.8138,
17.2047,
9.27362,
36.9865,
13.3417,
17.1464,
10.4881
