12.4097,
14.6969,
24.0416,
16.4317,
15.748,
26.8701,
13.7113,
28.775,
21.166,
13.784,
24.9399,
15.8114,
33.8821,
18.868,
24.4131,
26.7955,
19.8997,
16.1245,
16.9706,
14.2829
